Player 86375,317.137085
Player 5164,60.028172
Player 3166,86.517616
Player 2935,128.060837
Player 2895,61.813400
Player 2837,60.120983
Player 2617,96.102028
Player 2579,69.929909
Player 2085,20.133509
Player 1600,40.089203
Player 1067,219.552032
Player 1018,41.829124
Player 960,48.295567
Player 884,10.159822
Player 464,50.194000
Player 419,10.043682
Player 240,87.513268
Player 256,10.277975
Player 145,4.774268
Player 32,77.110313
Player 83,22.598160
Player 71,23.154495
Player 51,10.157128
Player 9,5.373772
Player 5,5.939799
